term,estimate,std_error,df,t_value,p_value,ci_lower,ci_upper
(Intercept),1.000003821629924,0.0017854168625525751,5495,560.0954279104536,0,0.9965036979246448,1.0035039453352033
measureAMI,0.009284664119512962,0.002439007172426736,5495,3.806739161933259,1.4234370799535672e-4,0.004503244720711034,0.01406608351831489
measureCABG,0.02662061935071041,0.003925633252726979,5495,6.781229329616602,1.3166333714892737e-11,0.018924824439006636,0.034316414262414184
measureCOPD,0.008475611614121865,0.0022629507154889247,5495,3.745380558272855,1.8196421544723116e-4,0.004039332552750444,0.012911890675493287
measureHIP-KNEE,0.03091809061184618,0.004482936554161454,5495,6.896838765907875,5.915484430559085e-12,0.022129760652841227,0.039706420570851136
measurePN,0.0023307251690161284,0.0019980691013224933,5495,1.1664887703200328,0.24346750839203163,-0.001586281090422036,0.006247731428454292
ownership_groupGovernment,0.0066345315753339636,0.003418367067371925,2433,1.9408482016633333,0.052392052546084845,-6.867943628117296e-5,0.0133377425869491
ownership_groupPhysician-owned,-0.10909025071055735,0.013023250274942954,2433,-8.376576385117133,9.078650083983522e-17,-0.13462805660719931,-0.08355244481391538
ownership_groupProprietary,0.019186695741294644,0.0029746601813182803,2433,6.450046247901726,1.344365842823132e-10,0.013353567089445188,0.0250198243931441
emergency_servicesNo,-0.008373961498441973,0.005171194792367542,2433,-1.619347526958678,0.10550211392027015,-0.018514361634596656,0.0017664386377127111
z_poverty,0.00823878384431339,0.0017099183740201028,2433,4.818232244000981,1.5374603482781705e-6,0.004885737361067616,0.011591830327559163
z_unemployment,0.006939061912118969,0.0012363593672139734,2433,5.612495926451814,2.2204822879061204e-8,0.00451463599141356,0.009363487832824377
z_uninsured,-0.0016454835943638469,0.0013593711033158336,2433,-1.2104741599627327,0.2262145797481775,-0.004311128087488346,0.0010201608987606514
z_income,0.0031980889224154,0.0019919795114120018,2433,1.6054828396043368,0.10851736323698127,-7.080623868629004e-4,0.0071042402316937
z_age65,0.0022524377618617147,0.0012232701166492066,2433,1.8413249299603707,0.06569562418946835,-1.4632093037165355e-4,0.0046511964540950825
z_log_population,0.0060094252888451905,0.0013055266450534766,2433,4.603065982310177,4.377162243244884e-6,0.0034493665208418303,0.00856948405684855
